"District","School","Sample Name","Facility Location ID","Sample Type","Location Description","Date Collected","Result (mg/L)","Unit (mg/L)","Result (PPB)","Unit (PPB)","Qualifier","Reporting Limit","Immediate Response","Permanent Solution","Confirmation Sampling"
"Red Clay","Forest Oak Elementary School","RED-9-1-303-DW-SS-13","13","SS","Water Fountain Room 303","03/07/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Smyrna","Sunnyside Elementary School","SMY-8-1-NUR-DWC-SS-11R","11R","SS","Right Water Fountain w/Cooler in Nurse's Office","02/09/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Sussex Vo-Tech","Sussex Tech","ST-1-1-AUTO-DWC-SS-56R","56","SS","Auto Diesel Right Water Fountain w/Cooler","02/11/2023","0.0014","mg/L","1.4","ppb","J","0.002","NA","NA","NA"
"Brandywine","Maple Lane Elementary School","BRAN-11-1-GYM-DWC-SS-11","11","SS","Water Fountain w/Cooler Gym","04/26/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","DAFB Middle/Welch Elementary","CR-4-1-166-DWC-SS-15","15","SS","Water Fountain w/Cooler by Room 166","03/30/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","DAFB Middle/Welch Elementary","CR-4-2-237-DWC-SS-22","22","SS","Second Floor Water Fountain w/Cooler Room 237","03/30/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-E205-DW-SS-82","82","SS","Room E205 Water Fountain","04/25/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Cape Henlopen High School","CAPE-2-1-C108-DWC-SS-24","24","SS","Water Fountain w/Cooler Room C108","03/08/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Mariner Middle School","CAPE-6-1-302-DWC-SS-17","17","SS","Water Fountain w/Cooler Room 302","03/09/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Sussex Consortium","CAPE-9-1-205-DW-SS-54","54","SS","Room 205 Water Fountain","03/18/2023","0.0013","mg/L","1.3","ppb",,"0.001","NA","NA","NA"
"Capital","East Dover Elementary School","CAP-4-1-113-DW-SS-03R","3","SS","Water Fountain Room 113","01/14/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Christina","Glasgow High School","CHR-12-2-308-DWC-SS-23","23","SS","Water Fountain w/Cooler by Room 308","05/20/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Christina","Glasgow High School","CHR-12-2-426-DWC-SS-28","28","SS","Water Fountain w/Cooler by Room 426","05/20/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Christina","Keene Elementary School","CHR-14-1-328-DW-SS-56","56","SS","Water Fountain Room 328","01/27/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Christina","Oberle Elementary School","CHR-21-2-115-DW-SS-86","86","SS","Second Floor Water Fountain Room 115","02/02/2023","0.0013","mg/L","1.3","ppb","J","0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.","NA"
"Christina","Smith Elementary School","CHR-24-1-107-DW-SS-27","27","SS","Water Fountain Room 107","02/02/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Christina","Smith Elementary School","CHR-24-1-99-DW-SS-31","31","SS","Water Fountain Room 99","02/02/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Christina","Wilson Elementary","CHR-26-1-06P-DW-SS-06","6","SS","Water Fountain Room 06P","02/03/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Colonial","Castle Hills Elementary","COL-3-1-D2HW-DWC-SS-65","65","SS","Water Fountain w/Cooler in Hallway by Room D2","02/03/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Colonial","Gunning Bedford Middle School","COL-06-01-CAF-DWC-SS-10","10","SS","Water Fountain w/Cooler in Cafeteria","01/20/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Colonial","Gunning Bedford Middle School","COL-06-01-565-DWC-SS-18","18","SS","Water Fountain w/Cooler Room 565","01/20/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Colonial","Kathleen Wilbur Elementary School","COL-8-1-Y1-DWC-F-11","11","SS","Water Fountain w/Cooler Room Y1","01/06/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Colonial","Pleasantville Elementary School","Col-11-1-29-DW-SS-40","40","SS","Water Fountain  Room 29","01/05/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Colonial","William Penn High School","COL-13-01-110-ICE-SS-39","39","SS","Ice Machine Room 110","01/13/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Lake Forest","W.T. Chipman Middle School","LAKE-7-1-CAF-DWC-SS-06","6","SS","Water Fountain w/Cooler Cafeteria","05/04/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Lake Forest","Lake Forest North Elementary School","LAKE-7-1-CAF-DWC-SS-06","6","SS","Water Fountain w/Cooler Cafeteria","05/04/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Lake Forest","Lake Forest East Elementary School","LAKE-3-1-RM12-DWC-SS-14","14","SS","Water Fountain w/Cooler by  Room 12","05/03/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-1-A129-DWC-SS-18","18","SS","First Floor Water Fountain w/Cooler by Room A129","03/11/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-1-B113-DWC-SS-41","41","SS","First Floor Water Fountain w/Cooler by Room B113","03/11/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-2-WBR-DWC-SS-56","56","SS","First Floor Water Fountain w/Cooler by Women's Restroom","03/11/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-1-D100-DWC-SS-60","60","SS","First Floor Water Fountain w/Cooler by Room D100","03/11/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","St. Georges Technical High School","NCVT-4-2-A206-DWC-SS-78R","78","SS","Second Floor Right Water Fountain w/Cooler Room A206","03/04/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Red Clay","Forest Oak Elementary School","RED-9-1-306-DW-SS-15","15","SS","Water Fountain Room 306","03/07/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Red Clay","Linden Hill Elementary School","RED-15-2-107-DW-SS-33","33","SS","Second Floor Room 107 Water Fountain","03/23/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Red Clay","Skyline Middle School","RED-21-1-91-DWC-SS-13","13","SS","First Floor Water Fountain w/Cooler Room 91","03/02/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Red Clay","Stanton Middle School","RED-22-1-127-DW-SS-17","17","SS","Water Fountain Room 127","03/16/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Smyrna","Smyrna High School","SMY-6-1-185-DWC-SS-27L","27","SS","Left Water Fountain w/Cooler Room 185","02/08/2023","0.0013","mg/L","1.3","ppb","J","0.002","NA","NA","NA"
"Appoquinimink","Brick Mill Elementary School","APPO-5-1-D104-DW-SS-18","18","SS","Room D104 Water Fountain","03/30/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Brandywine","Hanby Elementary/Bush Early Education Center","BRAN-3-1-C110A-DW-SS-46","46","SS","Room C100A Water Fountain","04/21/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","Caesar Rodney High School","CR-3-1-CAF-DWC-SS-29","29","SS","Water Fountain w/Cooler Cafeteria","03/29/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-CAFE-DWC-SS-09R","9","SS","Right Water Fountain w/Cooler Cafeteria","04/18/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-C108-DW-SS-25","25","SS","Room C108 Water Fountain","04/18/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-D111-DW-SS-60","60","SS","Room D111 Water Fountain","04/18/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Cape Henlopen High School","CAPE-2-1-LIB-DWC-SS-43","43","SS","Water Fountain w/Cooler Library","03/08/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","HO Brittingham Elementary School","CAPE-3-1-D103-DW-SS-33","33","SS","Water Fountain Room D103","03/10/2023","0.0012","mg/L","1.2","ppb",,"0.001","NA","NA","NA"
"Cape Henlopen","Milton Elementary School","CAPE-7-2-A204-DW-SS-39","39","SS","Room A204 Water Fountain","03/21/2023","0.0012","mg/L","1.2","ppb","J","0.002","Shut Off","Replaced Fixture","Sampling complete and results below program action level"
"Cape Henlopen","Milton Elementary School","CAPE-7-2-C202-DW-SS-51","51","SS","Room C202 Water Fountain","03/21/2023","0.0012","mg/L","1.2","ppb","J","0.002","Shut Off","Replaced Fixture","Sampling complete and results below program action level"
"Cape Henlopen","Milton Elementary School","CAPE-7-2-D202-DW-SS-58","58","SS","Room D202 Water Fountain","03/21/2023","0.0012","mg/L","1.2","ppb","J","0.002","Shut Off","Replaced Fixture","Sampling complete and results below program action level"
"Capital","North Dover Elementary","CAP-9-1-B2-DW-SS-22","22","SS","Water Fountain Room B2","01/07/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Charter School","Odyssey Charter School - Annex","OD-A-2-HW-232-DWC-SS-07R","7","SS","Right Water Fountain w/Cooler by Room 232","05/09/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Christina","Albert H. Jones Elementary School","CHR-13-1-A106-DW-SS-12","12","SS","First Floor Water Fountain Room A106","01/25/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Christina","Bancroft","CHR-1-2-218-DWC-SS-25","25","SS","Second Floor Water Fountain w/Cooler Room 218","02/07/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Christina","Brookside Elementary School","CHR-5-1-113-DW-SS-32","32","SS","Water Fountain Room 113","01/20/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Christina","Glasgow High School","CHR-12-1-109-DWC-SS-18","18","SS","Water Fountain w/Cooler by Room 109","05/20/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Christina","Smith Elementary School","CHR-24-1-104-DW-SS-43","43","SS","Water Fountain Room 104","02/02/2023","0.0012","mg/L","1.2","ppb","J","0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Fixture will be replaced.  Additional water coolers will be added to the school.","NA"
"Colonial","Castle Hills Elementary","COL-3-1-C4-DWC-SS-51","51","SS","Water Fountain w/Cooler Room C4","01/14/2023","0.0012","mg/L","1.2","ppb","J","0.002","Shutdown Fixture","Replace fixture and domestic feed lines",
"Colonial","Colwyck Center","COL-4-1-GYM-DW-SS-30R","30R","SS","Right Water Fountain Gym","01/18/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Colonial","Gunning Bedford Middle School","COL-06-01-301-DWC-SS-35","35","SS","Water Fountain w/Cooler Room 301","01/20/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Colonial","Pleasantville Elementary School","Col-11-1-22-DWC-SS-31","31","SS","Water Fountain w/Cooler Room 22","01/05/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Colonial","Pleasantville Elementary School","Col-11-1-28-DW-SS-38","38","SS","Water Fountain  Room 28","01/05/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Indian River","Indian River High School","IR-7-1-D117-DWC-SS-16","16","SS","Drinking Fountain w/Cooler Room D117","01/04/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Lake Forest","Lake Forest South Elementary","Lake-6-1-127-DW-SS-23","23","SS","Water Fountain Room 127","05/04/2023","0.0012","mg/L","1.2","ppb","J","0.002","Shut down","Removed fixture",
"Lake Forest","Lake Forest South Elementary","Lake-6-1-A102-DW-SS-30","30","SS","Water Fountain Room A102","05/04/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Lake Forest","Lake Forest South Elementary","Lake-6-1-144-DW-SS-31","31","SS","Water Fountain Room 144","05/04/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-1-A128-DWC-SS-19","19","SS","First Floor Water Fountain w/Cooler by Room A128","03/11/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"NCC Vo-Tech","Delcastle Technical High School","NCC Vo-Tech-1-1-B102-DWC-SS-47","47","SS","First Floor Water Fountain w/Cooler by Room B102","03/11/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Red Clay","AI DuPont High School","RED-1-2-GYMHall-DWC-SS-09","9","SS","Second Floor Hallway Water Fountain w/Cooler by Gym","02/22/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Red Clay","AI DuPont High School","RED-1-2-GYM-DWC-SS-11","11","SS","Second Floor Water Fountain w/Cooler Gym","02/22/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Red Clay","Cab Calloway School of the Arts","CHAR-6-1-108-DWC-SS-25R","25","SS","Water Fountain w/Cooler Room 108 (Right)","02/28/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Red Clay","Cab Calloway School of the Arts","CHAR-6-2-205-DWC-SS-31R","31","SS","Second Floor Water Fountain w/Cooler Room 205 (Right)","02/28/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Red Clay","Forest Oak Elementary School","RED-9-B-105-DW-SS-77","77","SS","Basement Water Fountain Room 105","03/07/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Red Clay","Forest Oak Elementary School","RED-9-B-105-DW-SS-77","77","SS","Basement Water Fountain Room 114","03/07/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Smyrna","Smyrna Middle School","SMY-7-1-117-DWC-SS-25L","25","SS","First Floor Left Water Fountain w/Cooler","02/01/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Woodbridge","Early Education Center","WOOD-2-1-15-DW-SS-19","19","SS","Water Fountain Room 15","02/22/2023","0.0012","mg/L","1.2","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","Allen Frear/JS Charlton","CR-1-1-160-DWC-SS-08","8","SS","Water Fountain w/Cooler Room 160","03/28/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","Caesar Rodney High School","CR-3-2-A215-DWC-SS-34","34","SS","Second Floor Water Fountain w/Cooler by Room A215","03/29/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W. Reily Brown Elementary School","CR-13-1-108H-DWC-SS-20R","20","SS","Right Water Fountain w/Cooler by Room 108H","04/07/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-C133-DW-SS-39","39","SS","Room C133 Water Fountain","04/18/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-E208-DW-SS-78","78","SS","Room E208 Water Fountain","04/25/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Caesar Rodney","W.B. Simpson Elementary School","CR-14-1-E206-DW-SS-80","80","SS","Room E206 Water Fountain","04/25/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Cape Henlopen High School","CAPE-2-2-MR-DWC-SS-71","71","SS","Second Floor Water Fountain w/Cooler by Men's Room","03/08/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","HO Brittingham Elementary School","CAPE-3-2-D204-DW-SS-53","53","SS","Second Floor Water Fountain Room D204","03/10/2023","0.0011","mg/L","1.1","ppb",,"0.001","NA","NA","NA"
"Cape Henlopen","HO Brittingham Elementary School","CAPE-3-2-D221-DW-SS-58","58","SS","Second Floor Water Fountain Room D221","03/10/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Cape Henlopen","Milton Elementary School","CAPE-7-2-A205-DW-SS-40","40","SS","Room A205 Water Fountain","03/21/2023","0.0011","mg/L","1.1","ppb","J","0.002","Shut Off","Replaced Fixture","Sampling complete and results below program action level"
"Cape Henlopen","Sussex Consortium","CAPE-9-1-305-DW-SS-34","34","SS","Room 305 Water Fountain","03/18/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Capital","William Henry Middle School","Cap-12-1-WR-DWC-SS-12","12","SS","Water Fountain w/Cooler by Women's Room","01/07/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Christina","Albert H. Jones Elementary School","CHR-13-2-A206-DW-SS-08","8","SS","Second Floor Water Fountain Room A206","01/25/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Christina","Bayard - Pulaski Elementary Campus","CHR-27-1-CAF-DWC-SS-06","6","SS","First Floor Water Fountain w/Cooler Cafeteria","02/09/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Christina","Brookside Elementary School","CHR-5-1-130-DW-SS-19","19","SS","Water Fountain Room 130","01/20/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Christina","Gauger-Cobbs Middle School","CHR-11-2-402-DWC-SS-30","30","SS","Water Fountain w/Cooler by Room 402","05/13/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Christina","John R. Downes Elementary School","CHR-9-1-GYM-DW-SS-01","1","SS","Water Fountain in Gym","01/24/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Christina","John R. Downes Elementary School","CHR-9-2-LIB-DWC-SS-08","8","SS","Second Floor Water Fountain w/Cooler Library","01/24/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Christina","Marshall Elementary School","CHR-18-1-024-DW-SS-21","21","SS","Room 024 Water Fountain","01/31/2023","0.0011","mg/L","1.1","ppb","J","0.002","Water bubbler on sink taken out of service.  Hand washing only sign posted.","Water bubbler on sink taken out of service.  Hand washing only sign posted.",
"Christina","Marshall Elementary School","CHR-18-1-027-DW-SS-24","24","SS","Room 027 Water Fountain","01/31/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Christina","Marshall Elementary School","CHR-18-1-014-DW-SS-45","45","SS","Room 014 Water Fountain","01/31/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Christina","Marshall Elementary School","CHR-18-1-017-DW-SS-48","48","SS","Room 017 Water Fountain","01/31/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Christina","Oberle Elementary School","CHR-21-1-510-DW-SS-20","20","SS","Water Fountain Room 510","02/02/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Colonial","Carrie Downie Elementary School","C01-2-1-202-DW-SS-20","20","SS","Water Fountain Room 202","01/20/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Colonial","Castle Hills Elementary","COL-3-1-D7-DW-SS-57","57","SS","Water Fountain Room D7","02/03/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Colonial","Gunning Bedford Middle School","COL-06-01-301-DWC-SS-36","36","SS","Water Fountain w/Cooler Room 301","01/20/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Colonial","Kathleen Wilbur Elementary School","COL-8-1-Y10H-DWC-SS-13","13","SS","Water Fountain w/Cooler Room Y10H","01/06/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Colonial","Kathleen Wilbur Elementary School","C01-8-1-03-DWC-SS-36","36","SS","Water Fountain w/Cooler Room 03","01/24/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Colonial","Pleasantville Elementary School","Col-11-1-8-DW-SS-08","8","SS","Water Fountain Room 8","01/05/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
"Colonial","Wilmington Manor Elementary School","COL-14-01-23-DW-SS-15","15","SS","Water Fountain Room 23","01/10/2023","0.0011","mg/L","1.1","ppb","J","0.002","NA","NA","NA"
